Chord,Note
Bb-major triad,D5
F-major triad,C5
F-major triad,C5
F-major triad,C5
F-major triad,A4
D-dominant seventh chord,D5
C-dominant seventh chord,C5
G-minor trichord,B-4
G-quartal trichord,A4
Eb-major triad,G4
D-major triad,A4
G-minor triad,B-4
F-major triad,A4
G-minor triad,G4
D-major triad,F#4
G-minor triad,G4
G-quartal trichord,A4
D-major triad,D5
G-minor triad,B-4
Eb-major triad,B-4
Bb-major triad,B-4
Bb-major triad,D5
C-dominant seventh chord,C5
Minor Third with octave doublings above G,B-4
A-half-diminished seventh chord,A4
Eb-major triad,G4
A-half-diminished seventh chord,A4
G-minor triad,G4
G-minor triad,G4
G-minor triad,D4
G-minor triad,G4
Eb-incomplete major-seventh chord,G4
D-major triad,A4
D-major triad,A4
G-minor triad,B-4
C-quartal trichord,C5
D-minor triad,D5
A-major triad,C#5
D-major triad,D5
D-major triad,D5
A-minor triad,A4
A-minor triad,C5
A-quartal trichord,B4
A-major-second minor tetrachord,C5
B-incomplete minor-seventh chord,D5
C-major-second major tetrachord,E5
C-major triad,E5
G-major triad,D5
A-major-second minor tetrachord,C5
A-quartal trichord,B4
E-major triad,B4
E-major triad,B4
A-minor triad,E5
D-dominant seventh chord,D5
G#-diminished triad,D5
Minor Third with octave doublings above A,C5
A-quartal trichord,B4
A-minor triad,C5
D-minor triad,D5
A-minor triad,C5
B-half-diminished seventh chord,B4
A-quartal trichord,B4
A-major triad,A4
G-minor triad,G4
G-minor triad,G4
Eb-major triad,G4
F-major triad,F4
A-half-diminished seventh chord,E-4
Bb-major-second major tetrachord,D4
Bb-major triad,F4
Eb-major triad,G4
A-half-diminished seventh chord,A4
C-quartal trichord,G4
A-half-diminished seventh chord,G4
D-major triad,F#4
C-quartal trichord,G4
G-minor triad,B-4
G-quartal trichord,A4
Eb-major triad,G4
F-major triad,F4
Bb-major-second major tetrachord,D4
Bb-major triad,F4
Eb-major triad,G4
A-diminished triad,A4
C-dominant seventh chord,G4
G-minor triad,G4
D-major triad,F#4
G-minor triad,G4
G-minor triad,D5
G-minor triad,D5
G-quartal trichord,D5
Eb-major triad,G4
C-dominant seventh chord,C5
D-dominant seventh chord,C5
G-major-second minor tetrachord,B-4
G-quartal trichord,A4
Eb-major triad,G4
F-major triad,F4
Bb-major triad,D4
G-minor triad,G4
G-minor triad,G4
D-major triad,F#4
Eb-major triad,G4
D-major triad,F#4
G-minor triad,G4
F#-major-third diminished tetrachord,F#4
G-minor triad,G4
G-quartal trichord,A4
G-major-second minor tetrachord,B-4
D-major triad,A4
G-minor triad,B-4
G-quartal trichord,A4
Eb-major triad,G4
F-major triad,F4
Bb-major triad,D4
C-quartal tetramirror,E-4
D-minor triad,F4
Bb-major triad,F4
Eb-major-second major tetrachord,G4
Eb-quartal trichord,F4
C-major-second minor tetrachord,E-4
G-major triad,D4
G-minor triad,D5
A-incomplete minor-seventh chord,C5
G-minor triad,B-4
G-quartal trichord,A4
D-major triad,F#4
G-minor triad,G4
F#-diminished triad,A4
G-minor triad,B-4
F#-diminished seventh chord,C5
G-major-second minor tetrachord,B-4
A-half-diminished seventh chord,A4
G-major triad,G4
G-minor triad,G4
G-minor triad,G4
Bb-major triad,B-4
F-major triad,A4
G-minor triad,G4
Eb-major triad,B-4
C-incomplete minor-seventh chord,C5
Bb-major triad,D5
Bb-major triad,D5
Bb-major triad,D5
G-minor triad,D5
Eb-major triad,E-5
F-major triad,F5
F-dominant seventh chord,E-5
G-minor triad,D5
C-minor seventh chord,C5
F-major triad,C5
Bb-major triad,B-4
G-minor triad,B-4
Eb-major triad,B-4
Bb-major-second major tetrachord,D5
Bb-quartal trichord,C5
F-major triad,A4
Bb-major triad,B-4
Bb-quartal trichord,C5
Bb-major triad,D5
Bb-major triad,D5
Bb-major triad,D5
Bb-major triad,D5
Bb-quartal trichord,C5
D-dominant seventh chord,C5
G-major-second minor tetrachord,B-4
A-major triad,A4
C#-diminished seventh chord,G4
D-minor triad,F4
Bb-major triad,F4
G-minor triad,B-4
A-incomplete minor-seventh chord,C5
G-minor triad,D5
C-dominant seventh chord,C5
D-major triad,D5
G-major-second minor tetrachord,B-4
G-quartal trichord,A4
G-minor triad,G4
G-major triad,G4
D-major triad,A4
G-dominant seventh chord,B4
C-major triad,C5
G-major triad,B4
A-dominant seventh chord,A4
D-minor triad,A4
E-dominant seventh chord,G#4
A-minor triad,A4
B-half-diminished seventh chord,B4
Minor Third with octave doublings above A,A4
A-minor triad,C5
C-major triad,C5
C-major seventh chord,B4
A-minor seventh chord,A4
F-major-second major tetrachord,A4
D-minor triad,D5
G-major triad,B4
C-major triad,C5
D-major triad,A4
G-major-second major tetrachord,B4
G-quartal trichord,A4
G-major triad,G4
G-major triad,D5
D-major triad,D5
G-major triad,D5
C-major triad,C5
F-major triad,A4
C-major triad,C5
D-dominant seventh chord,C5
G-major-second major tetrachord,B4
C-major triad,C5
G-perfect-fourth major tetrachord,B4
A-dominant seventh chord,A4
D-major triad,A4
G-major triad,D5
C-major triad,C5
G-major triad,B4
G-quartal trichord,A4
G-major triad,G4
D-minor triad,D4
D-minor triad,F4
G-minor triad,G4
D-minor triad,A4
D-minor triad,D5
A-minor triad,C5
E-major triad,B4
F-major triad,A4
G#-diminished seventh chord,B4
A-minor triad,C5
A-quartal trichord,B4
A-major triad,A4
D-minor triad,D5
Bb-incomplete major-seventh chord,D5
B-half-diminished seventh chord,D5
A-major triad,C#5
A-major triad,E5
D-minor triad,D5
D-minor triad,A4
G-minor seventh chord,B-4
F-major triad,A4
F-quartal trichord,G4
G-minor seventh chord,G4
F-major triad,F4
Bb-major triad,F4
E-half-diminished seventh chord,E4
A-major triad,E4
D-minor triad,D4
D-minor triad,A4
F-major triad,C5
F-major triad,C5
C-major triad,G4
A-minor triad,A4
Bb-major triad,B-4
F-major triad,A4
D-minor triad,A4
F-major triad,C5
Bb-major-second major tetrachord,D5
F-major triad,A4
C-major triad,C5
A-quartal tetramirror,A4
G-minor triad,G4
Bb-major triad,F4
E-half-diminished seventh chord,E4
D-incomplete major-seventh chord,D4
D-major triad,D4
A-major triad,C#5
D-major triad,D5
C#-minor triad,E5
F#-minor seventh chord,E5
B-incomplete minor-seventh chord,D5
A-major triad,C#5
E-major triad,B4
E-major triad,B4
A-major triad,C#5
D-major triad,D5
E-major triad,E5
D-incomplete major-seventh chord,D5
A-quartal trichord,B4
E-major triad,B4
A-major triad,A4
E-major triad,B4
A#-major-third diminished tetrachord,C#5
B-minor triad,D5
B-minor triad,D5
B-quartal trichord,C#5
F#-major triad,C#5
B-minor triad,B4
B-minor triad,D5
A-major triad,E5
D-major triad,F#5
D-major triad,F#5
D-quartal trichord,E5
A-major triad,E5
D-major triad,D5
A-major triad,C#5
D-major seventh chord,D5
E-major triad,E5
C#-minor triad,E5
D-major triad,D5
A-major triad,C#5
E-major triad,B4
E-major triad,B4
A-major triad,C#5
D-major-second major tetrachord,D5
A-major triad,E5
D-quartal trichord,D5
A-major triad,C#5
A-quartal trichord,B4
E-major triad,B4
A-major triad,A4
A-major triad,A4
F-major triad,F4
F-major triad,A4
B-diminished triad,B4
C-major triad,C5
F-major triad,C5
G-minor triad,B-4
F-major triad,C5
Bb-major triad,D5
F-major triad,C5
Bb-major triad,D5
E-diminished triad,E5
G-minor triad,D5
C-incomplete dominant-seventh chord,E5
F-major triad,F5
D-minor triad,A4
Bb-major triad,B-4
F-major triad,C5
C-dominant seventh chord,B-4
F-major triad,A4
C-major triad,G4
F#-diminished triad,A4
G-minor triad,B-4
F-major triad,A4
C-dominant seventh chord,G4
F-major triad,F4
E-diminished triad,G4
F-major triad,A4
C-major triad,G4
F-major triad,A4
B-diminished triad,B4
C-major triad,C5
C-major triad,E5
F-major triad,F5
Bb-major triad,D5
Bb-major seventh chord,F5
E-diminished triad,E5
G-minor seventh chord,D5
A-major triad,C#5
A-dominant seventh chord,A4
D-minor triad,D5
D-minor seventh chord,A4
G-minor triad,B-4
D-minor triad,A4
G-minor triad,G4
D-minor triad,F4
A-major triad,E4
F-augmented triad,F4
D-minor triad,D4
F#-diminished triad,F#4
D-dominant seventh chord,F#4
G-minor triad,G4
F#-diminished triad,F#4
G-minor triad,G4
D-major triad,A4
E-half-diminished seventh chord,B-4
D-incomplete dominant-seventh chord,C5
G-minor triad,B-4
D-dominant seventh chord,A4
Bb-augmented seventh chord,B-4
Minor Third with octave doublings above G,G4
C-major triad,C5
F-major triad,C5
C-major triad,C5
B-diminished triad,D5
Major Third with octave doublings above C,E5
D-incomplete minor-seventh chord,F5
C-major triad,E5
G-major triad,D5
C-major triad,E5
C-major triad,C5
F-major triad,F5
F-major triad,C5
F-major triad,A4
Bb-major triad,D5
F-major triad,C5
G-minor triad,B-4
C-major triad,C5
F-major triad,A4
F-quartal trichord,G4
F-major triad,C5
F-major triad,A4
F-major triad,F4
Bb-major triad,D5
E-diminished triad,E5
F-major triad,F5
F-major triad,A4
C-dominant seventh chord,G4
F-incomplete major-seventh chord,F4
F-major triad,F4
F-major triad,C5
F-major triad,A4
F-quartal trichord,G4
F-major triad,F4
C-major triad,C5
C-quartal trichord,D5
C-major triad,C5
D-minor triad,F5
G-dominant seventh chord,F5
C-major-second major tetrachord,E5
A-minor triad,E5
D-minor seventh chord,D5
C-incomplete major-seventh chord,C5
C-major triad,C5
F-major triad,C5
Bb-major triad,D5
C-major triad,C5
Bb-major triad,B-4
F-major triad,A4
C-major triad,G4
F-major triad,A4
G-tritone quartal tetrachord,B4
A-minor triad,C5
D-minor seventh chord,C5
G-major triad,B4
C-major triad,C5
F-major triad,C5
D-minor triad,D5
G-major-second minor tetrachord,B-4
C-dominant seventh chord,B-4
F-major-second major tetrachord,A4
Bb-major triad,B-4
F-major triad,A4
C-major triad,G4
F-major triad,F4
F-major triad,A4
F-quartal trichord,G4
D-minor triad,F4
C-major triad,C5
D-minor seventh chord,C5
G-major triad,B4
A-minor triad,C5
F-major triad,F5
G-dominant seventh chord,F5
C-major-second major tetrachord,E5
D-minor seventh chord,D5
C-major triad,C5
F-major triad,C5
D-minor triad,D5
F-major seventh chord,C5
G-minor triad,B-4
C-dominant seventh chord,B-4
F-major triad,A4
Bb-major triad,B-4
D-minor seventh chord,A4
G-minor seventh chord,G4
F-major triad,F4
B-major triad,B4
E-minor triad,B4
A-minor triad,A4
B-major triad,B4
E-minor triad,G4
F#-half-diminished seventh chord,F#4
A-minor seventh chord,G4
A-minor triad,A4
B-major triad,F#4
E-minor triad,E4
E-minor triad,E4
F#-quartal tetramirror,F#4
E-minor triad,G4
D-major triad,A4
G-major triad,B4
D-major triad,A4
B-minor triad,D5
B-quartal trichord,C#5
B-major triad,B4
E-minor triad,B4
A-major triad,E5
D-major triad,F#5
A-major triad,E5
E#-diminished seventh chord,B4
F#-minor triad,C#5
G#-quartal tetramirror,B4
F#-minor triad,A4
D-major triad,A4
G#-diminished triad,B4
A-major triad,C#5
D#-perfect-fourth diminished tetrachord,D#5
E-major triad,E5
B-minor trichord,D5
C#-half-diminished seventh chord,C#5
A#-major-third diminished tetrachord,D5
C#-minor triad,E5
F#-major triad,C#5
B-major triad,B4
G-minor triad,D5
A-half-diminished seventh chord,C5
G-major-second minor tetrachord,B-4
G-quartal trichord,A4
G-minor triad,B-4
A-diminished triad,A4
C-minor seventh chord,G4
D-major triad,F#4
D-major triad,D4
G-minor triad,D5
G-minor triad,D5
C-minor triad,E-5
C-minor triad,C5
D-major triad,D5
A-quartal tetramirror,C5
G-minor triad,B-4
D-major triad,A4
D-major triad,D5
C-major triad,C5
G-major-second minor tetrachord,B-4
G-quartal trichord,A4
G-minor triad,B-4
A-major triad,A4
A-dominant seventh chord,G4
D-major triad,F#4
D-major triad,D4
Bb-major triad,D5
Bb-major triad,D5
Eb-major triad,E-5
A-incomplete minor-seventh chord,C5
Bb-major-second major tetrachord,D5
Bb-quartal trichord,C5
Bb-major triad,B-4
Bb-major triad,D5
Eb-major triad,E-5
Bb-major triad,F5
G-minor triad,D5
C-incomplete minor-seventh chord,E-5
Bb-major triad,D5
Bb-major triad,D5
F-major triad,C5
F-major triad,C5
F-major triad,C5
Bb-major triad,D5
C-minor seventh chord,E-5
G-minor triad,D5
C-minor triad,C5
C-dominant seventh chord,B-4
F-major triad,A4
F-major triad,F4
D-major triad,D5
D-major triad,A4
G-major-second minor tetrachord,B-4
G-quartal trichord,A4
G-minor triad,B-4
C-minor triad,C5
D-major triad,D5
G-minor triad,D5
G-minor triad,D5
C-minor triad,C5
C#-diminished seventh chord,B-4
G-quartal trichord,A4
G-incomplete major-seventh chord,G4
G-minor triad,G4
E-minor triad,E4
E-minor triad,E4
E-minor triad,B4
E-minor triad,B4
C-major triad,C5
D-major triad,D5
G-major triad,B4
C-major triad,G4
F#-diminished triad,A4
G-major triad,B4
A-incomplete minor-seventh chord,C5
G-major triad,B4
A-dominant seventh chord,A4
G-quartal trichord,A4
E-major-second minor tetrachord,G4
D-major triad,A4
G-major-second major tetrachord,B4
G-quartal trichord,A4
E-incomplete minor-seventh chord,G4
D-major triad,F#4
E-minor seventh chord,E4
D-major triad,D4
E-minor triad,G4
E-quartal trichord,F#4
E-minor triad,G4
A-quartal trichord,A4
E-minor triad,B4
A-minor triad,A4
A-minor seventh chord,G4
B-major-diminished tetrachord,F#4
C-major triad,E4
B-major triad,F#4
E-minor triad,E4
D#-diminished triad,F#4
E-minor triad,G4
E-quartal trichord,F#4
E-major triad,E4
C-major triad,G4
C-quartal trichord,G4
A-minor triad,A4
G-major triad,B4
C-major triad,C5
F-quartal trichord,C5
C-major triad,E5
D-dominant seventh chord,D5
C-major seventh chord,C5
G-major triad,B4
A-minor seventh chord,A4
G-major triad,G4
E-minor triad,G4
E-minor triad,G4
A-minor triad,A4
G-major triad,B4
A-incomplete minor-seventh chord,C5
G-dominant seventh chord,G4
C-major triad,G4
F-major triad,A4
G-dominant seventh chord,G4
F-major seventh chord,F4
C-major triad,E4
D-minor seventh chord,D4
C-quartal trichord,D4
C-major triad,C4
C-major triad,C5
C-quartal trichord,D5
C-major triad,C5
G-major triad,B4
A-minor seventh chord,A4
Major Third with octave doublings above G,G4
C-major triad,G4
C-major triad,G4
F-major-second major tetrachord,A4
B-diminished triad,B4
F-quartal trichord,C5
C-quartal trichord,G4
C-major triad,G4
F-major triad,A4
F-quartal trichord,G4
D-major-second minor tetrachord,F4
A-minor triad,E4
D-minor seventh chord,D4
C-major triad,C4
A-minor triad,E5
A-minor triad,A4
A-quartal trichord,B4
A-major-second minor tetrachord,C5
C-major triad,C5
D-minor seventh chord,D5
G-major triad,D5
C-major triad,E5
C-major triad,E5
D-dominant seventh chord,D5
E-major triad,E5
A-major-second minor tetrachord,C5
A-minor triad,C5
A-quartal trichord,B4
E-major triad,E5
A-major-second minor tetrachord,C5
E-major triad,B4
A-minor triad,C5
D-minor triad,A4
G#-diminished seventh chord,G#4
A-minor triad,A4
E-major triad,B4
A-minor triad,E5
B-incomplete minor-seventh chord,D5
A-minor triad,C5
B-half-diminished seventh chord,B4
E-major triad,B4
A-major triad,A4
D-minor triad,A4
D-minor triad,D4
C#-diminished triad,E4
D-minor triad,F4
F-quartal trichord,G4
F-major triad,A4
G-dominant seventh chord,B4
C-major triad,C5
G-major triad,B4
D-quartal trichord,A4
B-half-diminished seventh chord,A4
E-major triad,G#4
A-minor triad,A4
A-minor triad,A4
G-dominant seventh chord,G4
C-major triad,G4
C-major triad,C5
F-major triad,A4
Bb-major triad,B-4
F-major triad,A4
C-dominant seventh chord,G4
F-major triad,F4
G-minor seventh chord,G4
F-incomplete major-seventh chord,F4
F-major triad,F4
D-minor triad,A4
D-minor triad,D4
C#-diminished seventh chord,E4
D-minor triad,F4
E-half-diminished seventh chord,G4
D-minor triad,A4
G-major triad,B4
C-major triad,C5
B-half-diminished seventh chord,B4
A-incomplete major-seventh chord,A4
A-minor triad,A4
F-major triad,A4
G-dominant seventh chord,G4
C-major triad,G4
C-major triad,C5
F-major triad,A4
G-minor triad,B-4
F-augmented triad,A4
C#-diminished seventh chord,G4
D-minor triad,F4
E-half-diminished seventh chord,E4
D-incomplete major-seventh chord,D4
D-minor triad,D4
D-minor triad,A4
E-half-diminished seventh chord,G4
A-major triad,A4
D-minor triad,F4
G-minor triad,G4
E-half-diminished seventh chord,E4
D-incomplete major-seventh chord,D4
Bb-major triad,D4
F-major triad,A4
F-major triad,A4
B-diminished triad,B4
C-major triad,C5
F-major triad,C5
B-half-diminished seventh chord,B4
A-major triad,A4
D-minor triad,A4
G-dominant seventh chord,G4
F-quartal trichord,G4
A-minor triad,C5
F-major triad,A4
G-incomplete minor-seventh chord,B-4
F-major triad,A4
C-major triad,G4
D-minor triad,F4
G-incomplete minor-seventh chord,G4
F-incomplete major-seventh chord,F4
F-major triad,F4
F-major triad,A4
G-dominant seventh chord,D4
C#-diminished triad,E4
D-minor triad,F4
G-quartal trichord,G4
Major Third with octave doublings above A,A4
Bb-major triad,D4
A-major triad,E4
D-minor triad,F4
A-major triad,E4
D-minor triad,F4
G-minor seventh chord,G4
F-major triad,A4
B-diminished triad,B4
C-major triad,C5
B-diminished triad,B4
F-major triad,A4
D-incomplete dominant-seventh chord,D5
F#-diminished triad,C5
G-minor triad,B-4
A-quartal tetramirror,A4
E-diminished triad,G4
G#-diminished seventh chord,F4
D-quartal trichord,E4
A-tritone quartal tetrachord,D4
D-major triad,D4
E-minor triad,B4
E-minor triad,B4
A-dominant seventh chord,A4
E-minor triad,G4
E-quartal trichord,F#4
E-minor triad,G4
F#-incomplete minor-seventh chord,A4
E-minor triad,G4
F#-dominant seventh chord,F#4
B-major triad,F#4
E-minor triad,E4
B-major triad,F#4
E-minor triad,G4
B-minor seventh chord,A4
Major Third with octave doublings above G,B4
D-major triad,A4
A-minor triad,C5
D-dominant seventh chord,C5
G-major triad,B4
A-minor seventh chord,A4
D-major triad,A4
Major Third with octave doublings above G,G4
D-major triad,A4
D-major triad,A4
D-major triad,A4
D-major triad,A4
D-major triad,F#4
G-major triad,G4
F#-perfect-fourth diminished tetrachord,A4
G-major triad,B4
G-quartal trichord,A4
B-major triad,F#4
E-minor triad,G4
D-major triad,A4
G-major triad,B4
E-major triad,B4
A-minor triad,A4
A#-diminished seventh chord,G4
F#-dominant seventh chord,F#4
E-quartal trichord,F#4
E-major triad,E4
G-minor triad,G4
D-major triad,A4
G-major-second minor tetrachord,B-4
F-major triad,C5
Major Third with octave doublings above Bb,D5
C-dominant seventh chord,C5
G-minor trichord,B-4
A-half-diminished seventh chord,A4
G-minor triad,G4
Bb-major triad,D5
A-diminished triad,E-5
Minor Third with octave doublings above D,F5
G-minor triad,B-4
F-major triad,C5
Major Third with octave doublings above Bb,D5
C-minor seventh chord,C5
F-major triad,C5
Major Third with octave doublings above Bb,B-4
F-major triad,A4
C-major triad,G4
F-major-second major tetrachord,A4
E-diminished triad,B-4
Minor Third with octave doublings above A,C5
Bb-major seventh chord,B-4
F-whole-tone trichord,A4
G-minor seventh chord,G4
F-major triad,F4
Bb-major triad,B-4
D-dominant seventh chord,A4
G-minor triad,B-4
D-minor seventh chord,C5
Major Third with octave doublings above Bb,D5
Eb-major seventh chord,D5
A-diminished triad,C5
D-major triad,D5
D-major triad,A4
Bb-augmented triad,D5
G-minor triad,G4
G-quartal trichord,A4
G-minor triad,B-4
A-half-diminished seventh chord,A4
D-major triad,A4
G-major triad,G4
C-minor triad,G4
C-minor triad,C5
B-diminished triad,B4
C-minor triad,C5
G-major triad,D5
C-minor triad,E-5
C-quartal trichord,D5
C-quartal trichord,D5
C-minor triad,E-5
C-minor triad,C5
F-minor triad,F5
Ab-major triad,E-5
D-half-diminished seventh chord,D5
G-major triad,D5
Eb-augmented seventh chord,E-5
C-minor triad,C5
C-minor triad,C5
C-minor triad,G4
G-minor triad,G4
Ab-major triad,C5
Eb-major triad,B-4
F-quartal tetramirror,A-4
Eb-major triad,G4
Eb-quartal trichord,F4
Bb-major triad,F4
Bb-major triad,B-4
Eb-major-second major tetrachord,G4
Ab-major triad,C5
Bb-dominant seventh chord,D5
Eb-major triad,E-5
Eb-major triad,G4
Bb-major triad,F4
Eb-incomplete major-seventh chord,E-4
Eb-major triad,E-4
Eb-major triad,E-4
Eb-major triad,G4
A-diminished triad,A4
B-diminished triad,B4
G-major triad,B4
C-minor triad,C5
D-diminished triad,D5
G-major triad,B4
G-major triad,B4
C-minor triad,C5
C-quartal trichord,D5
C-minor triad,E-5
C-minor triad,C5
F-minor triad,F5
C-minor triad,E-5
C-quartal trichord,D5
G-major triad,D5
C-minor triad,C5
C-minor triad,G4
F-major-second minor tetrachord,A-4
G-incomplete dominant-seventh chord,G4
Ab-major seventh chord,G4
F-minor triad,F4
G-major triad,G4
C-minor triad,C5
C-minor triad,G4
F-minor triad,A-4
F-quartal trichord,G4
F-minor triad,F4
F-minor seventh chord,E-4
D-half-diminished seventh chord,D4
C-minor triad,E-4
G-major triad,D4
C-incomplete major-seventh chord,C4
C-major triad,C4
G-minor triad,G4
G-minor triad,B-4
G-minor triad,G4
D-minor triad,F4
G-minor triad,G4
F#-diminished triad,A4
G-minor triad,B-4
A-half-diminished seventh chord,A4
G-minor triad,G4
G-minor triad,B-4
G-minor triad,B-4
G-minor triad,B-4
Bb-major triad,B-4
F-incomplete dominant-seventh chord,F4
G-minor seventh chord,G4
E-diminished triad,B-4
F-major triad,A4
F-major triad,A4
F-major triad,C5
A-minor triad,C5
C-minor triad,C5
enharmonic equivalent to half-diminished seventh chord above Eb,B-4
F#-diminished seventh chord,A4
Eb-major triad,G4
D-major triad,A4
G-minor triad,B-4
A-half-diminished seventh chord,A4
G-minor triad,G4
D-major triad,A4
G-minor triad,B-4
G-minor triad,G4
D-minor triad,F4
G-minor triad,G4
F#-diminished triad,A4
G-minor triad,B-4
A-half-diminished seventh chord,A4
G-major triad,G4
G-major triad,G4
G-major triad,G4
G-major triad,G4
G-major triad,D4
E-minor triad,G4
A-minor seventh chord,A4
G-major triad,B4
G-major triad,G4
D-major triad,A4
G-major triad,B4
C#-diminished triad,C#5
D-major triad,D5
D-major triad,F#5
E-minor seventh chord,E5
D-major triad,D5
C-major triad,E5
D-incomplete dominant-seventh chord,D5
A-minor triad,C5
A-minor triad,E5
D-minor triad,D5
F-major triad,C5
B-half-diminished seventh chord,B4
A-minor triad,A4
A-minor triad,A4
E-major triad,G#4
A-minor triad,A4
A-quartal trichord,B4
A-major-second minor tetrachord,C5
A-minor triad,C5
A-quartal trichord,B4
E-minor triad,G4
F-incomplete major-seventh chord,A4
G-dominant seventh chord,B4
A-incomplete minor-seventh chord,C5
D-minor seventh chord,C5
G-major triad,B4
C-major triad,C5
G-major triad,D5
D-dominant seventh chord,C5
G-major triad,B4
G-quartal trichord,A4
E-minor triad,G4
D-dominant seventh chord,A4
G-perfect-fourth major tetrachord,B4
A-minor seventh chord,A4
G-major triad,G4
G-major triad,G4
E-minor triad,G4
A-minor triad,A4
G-major triad,B4
D-major triad,A4
B-minor seventh chord,B4
A-minor triad,C5
G-major triad,B4
A-minor triad,A4
G-major triad,G4
G-major triad,B4
C-major triad,C5
B-tritone quartal tetrachord,B4
F#-half-diminished seventh chord,A4
E-minor triad,G4
D-dominant seventh chord,F#4
G-major-second major tetrachord,G4
G-major-second major tetrachord,G4
G-major seventh chord,F#4
G-major triad,G4
D-major triad,A4
B-minor triad,D5
C-major triad,C5
G-major triad,B4
A-dominant seventh chord,A4
G-major triad,G4
B-minor seventh chord,F#4
E-minor seventh chord,E4
E-lydian tetrachord,F#4
E-incomplete minor-seventh chord,G4
A-major triad,E4
Major Third with octave doublings above D,D4
B-major triad,B4
C-major triad,C5
G-major triad,B4
A-major triad,A4
E-minor triad,G4
A-quartal tetramirror,A4
G-major triad,B4
D-dominant seventh chord,A4
G-major triad,G4
D-major triad,D5
G-major triad,D5
G-quartal trichord,D5
G-major triad,D5
E-minor triad,E5
F-major triad,F5
C-major triad,E5
C-quartal trichord,D5
C-major triad,C5
D-major triad,D5
G-major triad,B4
A-incomplete minor-seventh chord,A4
G-major triad,G4
D-major triad,A4
E-minor triad,B4
A-dominant seventh chord,C#5
D-major triad,D5
E-quartal tetramirror,E5
Major Third with octave doublings above D,D5
G-major triad,D5
G-major triad,G5
D-major triad,F#5
A-major triad,E5
F#-major triad,F#5
G-major triad,G5
G-incomplete major-seventh chord,F#5
A-major triad,E5
D-major triad,D5
G-major triad,D5
E-minor triad,G5
C-quartal trichord,D5
C-major triad,E5
E-minor triad,B4
C-major triad,C5
D-major triad,D5
A-minor triad,C5
E-major triad,B4
G-major triad,B4
D-major triad,A4
B-minor seventh chord,B4
C-major triad,C5
G-major triad,B4
A-minor triad,A4
A-major triad,E4
D-major triad,F#4
G-major triad,G4
G-major triad,G4
A-quartal tetramirror,A4
G-major triad,B4
C-major triad,C5
D-major triad,D5
A-minor triad,C5
E-minor triad,B4
A-minor triad,A4
B-major triad,B4
E-minor triad,B4
G-major triad,B4
D-major triad,A4
B-minor triad,B4
C-major triad,C5
E-minor seventh chord,B4
A-minor seventh chord,A4
G-major triad,G4
C-major triad,E4
D-major triad,F#4
G-major triad,G4
G-major triad,G4
D-major triad,A4
G#-major-third diminished tetrachord,B4
A-minor triad,C5
G-dominant seventh chord,B4
F-incomplete major-seventh chord,A4
A-major-second minor tetrachord,B4
B-half-diminished seventh chord,B4
A-minor triad,A4
D-major triad,A4
G-major triad,B4
C-major triad,C5
B-minor triad,D5
A-minor triad,C5
E-minor triad,B4
A-minor triad,A4
B-major triad,B4
E-minor triad,G4
D-major triad,A4
B-major triad,B4
C-major triad,C5
E-minor seventh chord,B4
A-minor seventh chord,A4
G-major triad,G4
C-major triad,E4
D-major triad,F#4
G-major triad,G4
D-major triad,D5
B-incomplete minor-seventh chord,D5
D-dominant seventh chord,D5
D-major triad,A4
B-minor triad,B4
C#-diminished triad,C#5
D-major triad,D5
A-perfect-fourth major tetrachord,C#5
B-quartal tetramirror,B4
Major Third with octave doublings above A,A4
B-minor triad,D5
A-major triad,C#5
E-minor triad,B4
F#-minor triad,A4
G-major triad,B4
D-incomplete major-seventh chord,A4
G-major triad,G4
G-incomplete major-seventh chord,F#4
A-major triad,E4
D-major triad,D4
Major Third with octave doublings above D,D4
F#-minor triad,A4
C#-minor seventh chord,B4
A-major triad,A4
E-major triad,G#4
Major Third with octave doublings above A,A4
B-minor triad,D4
D-major triad,A4
E-minor triad,B4
A-dominant seventh chord,C#5
Major Third with octave doublings above D,D5
F#-minor triad,C#5
B-minor triad,D5
A-major triad,C#5
B-minor seventh chord,B4
E-major triad,B4
Major Third with octave doublings above A,A4
E-minor triad,B4
G-major triad,B4
D-major triad,A4
B-major triad,B4
B-dominant seventh chord,A4
E-minor triad,G4
B-major triad,F#4
B-minor triad,D5
A-major triad,C#5
E-minor triad,B4
A-dominant seventh chord,A4
B-minor triad,B4
A-major triad,A4
G-major triad,G4
G-major seventh chord,F#4
A-major triad,E4
D-major triad,D4
G-minor triad,G4
A-half-diminished seventh chord,A4
D-major triad,A4
Bb-augmented major tetrachord,B-4
D-dominant seventh chord,C5
G-minor triad,B-4
Perfect Fifth with octave doublings above G,G4
Perfect Fifth with octave doublings above G,D5
Eb-major seventh chord,D5
G-perfect-fourth minor tetrachord,C5
G-minor triad,B-4
F#-diminished seventh chord,A4
C-incomplete dominant-seventh chord,G4
D-major triad,F#4
D-major triad,A4
G-minor triad,B-4
F-major triad,C5
D-minor seventh chord,D5
F-dominant seventh chord,E-5
Bb-major triad,D5
Perfect Fifth with octave doublings above Bb,B-4
Perfect Fifth with octave doublings above Bb,F5
G-minor seventh chord,F5
Bb-all-interval tetrachord,E5
Bb-major triad,D5
C-major triad,C5
C-incomplete dominant-seventh chord,B-4
F-major triad,A4
Bb-major triad,D5
